#{"t_start": 1754592836.6638713, "env_id": "None"}
r,l,t
5.042738,2,99.191901
82.23316,18,99.207928
10.132513,3,99.210718
48.837696,11,99.219864
25.10352,6,99.225086
5.081637,2,99.227215
46.968984,10,99.235572
35.071788,8,99.242361
10.158038,3,99.245264
5.031447,2,99.246995
47.406595,11,99.256207
25.205492,6,99.261606
5.015662,2,99.263492
10.051276,3,99.266057
67.82109,15,99.278744
15.007284,4,99.282187
42.681228,10,99.290557
20.597334,5,99.295219
4.919576,2,99.296966
5.063734,2,99.298715
78.2536,17,99.313462
4.993426,2,99.315335
4.978151,2,99.317307
43.404791,10,99.326033
20.389015,5,99.330819
4.876721,2,99.332659
5.100321,2,99.334496
14.463268,4,99.337818
62.732304,14,99.349903
4.977276,2,99.351745
29.915229,7,99.357688
63.952901,14,99.369787
19.424513,5,99.374039
20.105471,5,99.378606
4.991371,2,99.380321
72.945925,16,99.393682
4.920493,2,99.395421
15.073428,4,99.398813
75.148497,16,99.41229
38.362236,9,99.419831
10.105605,3,99.422605
10.257539,3,99.425213
5.029281,2,99.427655
56.144915,12,99.43764
49.302144,11,99.447338
55.567202,12,99.457262
39.215162,9,99.465017
5.040728,2,99.466823
38.54928,9,99.474349
4.883199,2,99.476468
4.947445,2,99.478271
10.236332,3,99.48084
119.327927,25,99.50178
14.643486,4,99.505232
5.015436,2,99.506936
15.516223,4,99.510624
25.400499,6,99.515851
15.433405,4,99.519303
5.042073,2,99.521003
28.846969,7,99.527292
120.735502,25,99.54818
34.253107,8,99.554904
58.821951,13,99.565913
104.919147,22,99.584396
75.086592,16,99.597786
60.122965,13,99.608714
34.108244,8,99.615703
66.008919,14,99.627732
4.951147,2,99.629699
5.019568,2,99.631663
45.887134,10,99.640041
5.036161,2,99.641848
24.574702,6,99.647402
31.027324,7,99.653427
43.968538,10,99.662163
15.367142,4,99.665664
43.210689,10,99.67408
10.123142,3,99.676952
74.445298,16,99.690197
19.577565,5,99.694759
10.063522,3,99.697367
78.660591,17,99.711568
14.813779,4,99.715028
14.780199,4,99.718466
94.612654,20,99.736602
63.298881,14,99.74878
20.782615,5,99.753017
34.482321,8,99.759942
5.026873,2,99.761764
53.206063,12,99.771728
43.882439,10,99.780641
4.932047,2,99.782377
39.449909,9,99.789931
45.066271,10,99.798566
19.511812,5,99.802813
20.141854,5,99.807216
56.958644,13,99.8182
25.522992,6,99.82328
68.375141,14,99.835412
98.942009,21,99.854257
59.185052,13,99.866004
72.930948,16,99.879968
5.011363,2,99.881764
5.025308,2,99.883579
10.161485,3,99.886106
63.878354,14,99.898137
39.333645,9,99.905697
10.098783,3,99.908272
40.327463,9,99.916054
5.069708,2,99.917793
68.540935,15,99.930657
4.968684,2,99.932435
65.131353,14,99.944946
48.697427,11,99.954203
30.206349,7,99.960294
5.071965,2,99.962028
15.089803,4,99.965873
29.099764,7,99.971757
10.057892,3,99.974382
14.700432,4,99.978011
79.13706,17,99.992
14.861117,4,99.99586
84.648726,18,100.010747
5.068532,2,100.012482
40.115268,9,100.020246
14.829295,4,100.023691
63.486021,14,100.035854
64.227411,14,100.04825
56.337514,12,100.058355
20.681639,5,100.062753
28.638739,7,100.068673
4.965381,2,100.070396
79.88232,17,100.085188
30.451874,7,100.091151
40.194451,9,100.099271
24.180126,6,100.104337
20.383745,5,100.108562
53.925536,12,100.1188
10.016502,3,100.121506
15.136144,4,100.125057
49.477542,11,100.134547
5.059431,2,100.136276
74.719075,16,100.149951
96.661374,20,100.166497
20.45358,5,100.170721
54.020582,12,100.181024
34.283465,8,100.187837
25.272752,6,100.193064
20.490826,5,100.197489
4.984901,2,100.199311
5.053438,2,100.201149
44.161871,10,100.21027
25.382457,6,100.215379
5.036822,2,100.21709
57.481058,13,100.228208
15.231372,4,100.231887
4.944095,2,100.233815
10.038985,3,100.236525
75.884329,16,100.250304
5.077146,2,100.252023
24.143483,6,100.257106
10.096545,3,100.259964
91.548744,19,100.275729
5.067332,2,100.277747
45.385969,10,100.286173
20.561482,5,100.290396
44.689969,10,100.299101
10.084905,3,100.301729
5.010472,2,100.303546
15.175655,4,100.307038
74.650264,16,100.320476
4.998737,2,100.322201
33.730079,8,100.329146
55.170812,12,100.339472
14.811929,4,100.343356
4.911071,2,100.345086
15.376718,4,100.348505
35.437031,8,100.355447
19.376893,5,100.35996
24.795683,6,100.365037
20.498131,5,100.36922
64.923406,14,100.381029
42.753292,10,100.38934
59.00124,13,100.400231
20.636552,5,100.404458
33.03132,8,100.411337
43.887054,10,100.419572
9.920567,3,100.422101
49.03691,11,100.431788
14.814519,4,100.435281
29.499051,7,100.441199
4.916502,2,100.443199
112.883192,24,100.463178
58.970086,13,100.47396
45.211137,10,100.482433
90.35521,19,100.498206
20.244989,5,100.50245
15.116464,4,100.505953
29.880702,7,100.51195
25.347974,6,100.517141
72.182289,16,100.53072
4.921006,2,100.532693
4.925483,2,100.534462
78.996674,17,100.548765
9.900088,3,100.551442
40.101611,9,100.559066
15.370403,4,100.56247
86.083964,18,100.577481
4.851626,2,100.579208
15.453243,4,100.582564
35.624742,8,100.589299
25.173035,6,100.594493
10.070578,3,100.597035
57.580969,12,100.606929
15.382487,4,100.610543
46.707698,10,100.618816
10.097626,3,100.621404
15.097606,4,100.624822
70.551887,15,100.637468
5.082597,2,100.639181
30.429816,7,100.645373
4.914687,2,100.647128
55.440911,12,100.657046
69.242277,15,100.669791
43.746024,10,100.678266
15.329925,4,100.681655
25.763642,6,100.686723
15.229293,4,100.69009
5.057007,2,100.691796
15.301147,4,100.695355
4.906724,2,100.697074
10.1233,3,100.699603
45.507042,10,100.707888
49.866543,11,100.717285
20.25444,5,100.721554
5.006509,2,100.723276
5.021059,2,100.725064
55.693575,12,100.73535
44.789861,10,100.743937
5.018033,2,100.745639
58.020674,13,100.756311
40.18657,9,100.764143
20.414844,5,100.768334
55.074009,12,100.77863
4.91764,2,100.780385
15.219363,4,100.783797
28.380835,7,100.789572
33.419807,8,100.796405
40.692715,9,100.80389
9.964851,3,100.806519
5.014067,2,100.808327
5.076814,2,100.81035
50.119644,11,100.819502
50.010524,11,100.828953
52.581698,12,100.838949
14.690954,4,100.842453
26.052862,6,100.847711
25.276898,6,100.852645
54.762424,12,100.862755
83.194101,18,100.878048
35.421475,8,100.884762
40.357986,9,100.89214
10.079089,3,100.895024
9.883095,3,100.897583
4.900571,2,100.899375
20.181281,5,100.903702
10.130227,3,100.906271
14.916673,4,100.909997
5.016498,2,100.911719
60.345064,13,100.922397
64.733643,14,100.934711
4.893228,2,100.936429
4.956151,2,100.938206
54.234473,12,100.948237
5.007876,2,102.024363
54.15648,12,102.034467
30.47504,7,102.040726
77.61956,16,102.054414
87.155163,19,102.070223
77.082851,16,102.083595
29.645051,7,102.089427
50.08591,11,102.099428
45.09757,10,102.108393
105.3558,22,102.127999
10.151731,3,102.130853
14.637046,4,102.134524
38.542541,9,102.143281
4.944462,2,102.14532
115.40143,24,102.166063
4.913852,2,102.167835
15.289621,4,102.171276
38.806113,9,102.178988
93.996209,20,102.195829
19.871817,5,102.200079
5.050124,2,102.201785
47.955841,11,102.211297
111.564894,23,102.230919
4.951595,2,102.232706
4.892887,2,102.234496
56.087253,12,102.245244
102.833824,22,102.264052
4.985804,2,102.265872
4.946973,2,102.267739
129.676863,27,102.290598
4.973478,2,102.292503
73.959882,16,102.30637
34.214096,8,102.313199
5.022355,2,102.314926
5.034824,2,102.316664
79.763658,17,102.330798
26.080796,6,102.335917
24.85513,6,102.341307
45.195183,10,102.350007
4.994717,2,102.351813
10.120561,3,102.354444
53.835734,12,102.365228
52.196248,11,102.374441
34.311127,8,102.381161
35.449145,8,102.387799
39.940766,9,102.395408
4.961265,2,102.397122
20.156674,5,102.401423
23.841066,6,102.406429
62.373104,14,102.418271
25.918398,6,102.423273
71.82968,15,102.436089
34.807624,8,102.443486
5.050652,2,102.445384
80.944437,17,102.459338
76.029425,16,102.472947
34.733494,8,102.480015
74.905792,16,102.493435
4.944644,2,102.495304
43.068524,10,102.503639
4.910805,2,102.505357
62.906853,14,102.516998
10.146929,3,102.519542
15.282817,4,102.523072
65.323595,14,102.534938
43.886618,10,102.544205
58.981637,13,102.555142
5.041029,2,102.55697
34.272543,8,102.563948
14.583987,4,102.567369
5.022137,2,102.569074
24.97961,6,102.574196
26.063648,6,102.579533
20.139392,5,102.58386
4.932011,2,102.585626
34.211197,8,102.592214
5.047929,2,102.594254
36.559943,8,102.600988
42.9036,10,102.609294
15.07977,4,102.612953
5.06263,2,102.614696
101.68237,21,102.632235
4.865484,2,102.633964
4.850724,2,102.635768
10.139977,3,102.638283
14.787019,4,102.641962
15.232366,4,102.645653
15.129961,4,102.649024
58.191086,13,102.660003
10.05363,3,102.662646
15.085979,4,102.666154
5.067927,2,102.667859
50.130332,11,102.677108
54.731631,12,102.687081
14.974825,4,102.690507
23.987426,6,102.695833
47.753975,11,102.70504
73.263279,16,102.718609
61.273139,13,102.729547
63.455189,14,102.741427
83.761514,18,102.75652
5.00992,2,102.758227
88.048404,19,102.774039
20.002483,5,102.77843
5.052333,2,102.780149
39.390088,9,102.787632
5.069472,2,102.789366
4.918102,2,102.79108
4.930522,2,102.793212
57.723384,13,102.804128
53.280114,12,102.815028
54.809596,12,102.825375
60.715351,13,102.836572
4.866625,2,102.838381
48.617685,11,102.848342
45.825628,10,102.85669
150.825219,31,102.882852
4.933238,2,102.884636
68.361848,15,102.897375
80.122276,17,102.912205
42.253011,10,102.920933
5.034632,2,102.922727
34.304108,8,102.929668
10.178362,3,102.932308
20.473568,5,102.936676
14.834292,4,102.940463
5.018934,2,102.942189
39.340679,9,102.950121
48.701989,11,102.959329
161.088608,33,102.99819
114.588739,24,103.03319
5.076491,2,103.035644
93.10002,20,103.054581
44.919555,10,103.06395
15.263121,4,103.067521
19.964234,5,103.071897
74.681735,16,103.085797
15.153491,4,103.089268
98.065889,21,103.107303
87.965454,19,103.123512
46.019726,10,103.132149
4.892581,2,103.134053
67.702571,15,103.147265
29.083213,7,103.153203
25.713208,6,103.158352
47.785087,11,103.167766
145.638731,30,103.193226
5.017232,2,103.195014
62.399972,14,103.20679
30.211836,7,103.212866
101.228547,21,103.230392
20.258497,5,103.234701
74.69874,16,103.248467
5.016038,2,103.250231
45.901541,10,103.258477
47.507601,10,103.26706
45.521542,10,103.275372
4.964795,2,103.277447
4.966396,2,103.27922
15.135196,4,103.282603
33.481622,8,103.289305
15.384474,4,103.292729
54.456829,12,103.302828
5.035244,2,103.304666
76.829312,17,103.318958
34.825072,8,103.325733
60.845375,13,103.336722
14.830312,4,103.340205
44.305342,10,103.349548
64.405388,14,103.361324
9.835507,3,103.363928
53.046663,12,103.37411
4.977779,2,103.37595
37.724116,9,103.383686
5.003945,2,103.385421
68.624648,15,103.397943
4.86889,2,103.39968
37.372434,9,103.407227
89.369822,19,103.423043
4.92243,2,103.424848
45.661093,10,103.433306
69.682314,15,103.44651
14.715262,4,103.449952
4.939248,2,103.451696
48.870114,11,103.460966
31.530827,7,103.466862
35.334405,8,103.473534
49.661515,11,103.482841
19.902774,5,103.487119
33.994073,8,103.49408
35.929814,8,103.500809
15.042073,4,103.504415
55.78065,12,103.514539
24.569874,6,103.519614
5.015305,2,103.521338
58.218752,13,103.532402
29.706366,7,103.538252
70.335821,15,103.551369
52.885035,12,103.561697
4.921769,2,103.563727
5.077157,2,103.565685
10.179002,3,103.568666
25.296195,6,103.57396
70.132906,15,103.586631
83.204525,18,103.601719
4.954134,2,103.603464
4.891348,2,103.605243
63.44408,14,103.617046
29.507562,7,103.622908
14.815852,4,103.62669
68.202303,15,103.639119
65.434098,14,103.651287
33.636637,8,103.657896
