#{"t_start": 1754656415.784797, "env_id": "None"}
r,l,t
4.386323,6,10.14044
33.060789,22,10.160794
12.680068,19,10.177511
24.859673,21,10.195349
31.867431,36,10.226017
9.496819,15,10.23933
10.158991,9,10.24702
17.637133,27,10.270024
3.000399,6,10.275314
14.589028,13,10.286583
9.541359,18,10.30183
30.631766,29,10.327729
7.291778,13,10.339008
4.429332,6,10.344317
40.705412,45,10.382253
11.269839,21,10.399955
18.831775,27,10.422676
36.479002,43,10.459561
10.86373,14,10.471584
9.141348,10,10.480236
9.285668,13,10.491237
18.574787,16,10.504849
11.207869,7,10.510865
4.428275,12,10.521289
13.68179,14,10.533575
5.632039,20,10.550591
15.158906,18,10.565985
8.029799,10,10.574496
22.114662,21,10.592216
18.697688,14,10.60571
25.293422,22,10.625079
11.357053,14,10.637632
16.812266,10,10.6462
4.470484,14,10.658194
8.877944,18,10.673527
9.434612,9,10.681135
24.92565,25,10.702709
22.029581,28,10.726814
14.099557,32,10.754667
7.998541,13,10.765764
29.157432,36,10.796119
8.903467,9,10.803839
4.160042,14,10.81572
14.254974,18,10.831361
24.160051,25,10.852362
25.505812,38,10.884737
28.8095,29,10.909619
24.18701,52,10.956508
3.917863,8,10.963943
22.008225,26,10.986416
9.422908,16,11.000272
7.487974,25,11.021833
22.565255,21,11.040452
10.10999,13,11.051633
6.149011,10,11.06021
2.254441,5,11.064703
4.76189,8,11.071637
13.027368,22,11.090702
12.833979,16,11.104665
8.802676,7,11.110615
12.405643,8,11.117767
9.018191,18,11.133906
18.896795,18,11.149283
34.188431,36,11.181764
3.823231,6,11.187416
17.553692,25,11.209193
34.429131,35,11.239608
24.258777,25,11.260886
24.90998,28,11.285286
39.649317,40,11.319471
16.559985,23,11.33985
16.655196,12,11.350241
10.895998,23,11.370066
24.153347,14,11.382008
2.518915,6,11.387473
14.867267,31,11.414398
10.051599,8,11.421148
14.490629,23,11.441367
8.911822,13,11.452542
14.990661,22,11.471381
18.984731,24,11.492024
10.13037,18,11.507809
19.607049,12,11.518123
15.578538,24,11.539361
11.261671,17,11.554026
36.296778,44,11.591857
7.903245,10,11.600486
5.823288,8,11.607503
23.607212,20,11.624843
29.557064,35,11.655237
4.115646,12,11.666199
21.724495,26,11.688972
1.621034,4,11.692456
25.057361,30,11.718199
17.127505,23,11.738446
13.293866,24,11.759028
17.39212,18,11.774662
18.635842,26,11.796962
7.319535,24,11.818031
2.683977,6,11.823411
5.797138,10,11.831861
10.425256,18,11.847647
16.047787,17,11.862307
32.686204,31,11.889696
11.052615,11,11.899316
5.711493,17,12.844743
26.811221,27,12.867949
14.014913,14,12.87996
13.984757,17,12.894726
6.506242,13,12.906117
11.471659,19,12.922118
8.433441,18,12.93772
9.671427,11,12.947561
20.662668,19,12.96383
5.459891,7,12.969968
20.004425,28,12.9935
21.580644,15,13.006133
22.717567,22,13.024803
21.317519,38,13.057497
30.701083,25,13.078446
23.461156,21,13.096547
16.125948,15,13.109442
17.306237,22,13.128108
36.167279,29,13.153591
8.254297,10,13.163334
24.802578,27,13.186522
3.471446,5,13.19081
19.996781,20,13.207908
2.508218,5,13.212256
18.602547,18,13.228328
4.961818,16,13.242363
9.967184,10,13.250864
28.709775,35,13.280398
20.248588,37,13.311531
9.891089,10,13.320183
32.414673,38,13.352966
33.584301,42,13.388739
7.230617,16,13.402405
1.407947,8,13.409441
10.013893,27,13.432474
6.398598,9,13.440384
32.04378,24,13.462063
15.568158,12,13.472523
7.494329,12,13.483134
2.866997,5,13.487534
11.605096,21,13.505385
9.662487,7,13.511356
6.842362,14,13.523393
4.33413,13,13.534555
9.887889,17,13.549445
19.176848,21,13.567338
31.014345,29,13.591989
12.321026,16,13.60562
4.207133,14,13.617505
23.349386,16,13.631128
33.092111,42,13.667049
27.352081,32,13.69434
26.807842,28,13.718467
13.714955,22,13.737196
12.421498,22,13.756331
28.098333,25,13.777633
34.321671,28,13.801418
11.45115,31,13.827715
69.829389,63,13.881544
27.301852,40,13.915828
13.165333,16,13.929626
8.502481,14,13.941468
16.201603,19,13.958147
10.543646,12,13.968519
3.711654,6,13.973709
25.440031,43,14.009835
13.155962,8,14.016684
4.303568,13,14.027656
10.921719,7,14.033707
17.646656,16,14.047684
5.963911,8,14.054669
2.926944,5,14.058985
26.120662,32,14.086564
1.76252,5,14.091159
5.338881,7,14.097497
12.567838,14,14.109833
15.728928,16,14.123842
28.172102,22,14.142773
21.171455,13,14.15483
41.55044,42,14.191963
10.888127,18,14.207925
25.159867,30,14.234207
2.474057,6,14.239471
15.498459,22,14.258649
29.215111,42,14.294732
12.636897,14,14.306747
9.277164,10,14.31549
11.971537,21,14.333552
14.749657,12,14.34402
12.053102,15,14.357286
3.309615,6,14.362551
15.387926,17,14.37744
14.039107,23,14.397157
12.500128,18,14.412713
15.553829,19,14.429329
8.531844,9,14.43728
51.69625,42,14.473871
20.912103,15,14.486861
44.176311,41,14.521913
7.894243,8,14.528941
44.374407,43,14.566355
9.051317,12,14.577006
68.674072,64,15.574841
